ORIG_AIRPORT_CD,DEST_AIRPORT_CD,CARRIER_CD,SUB_CLASS_CD,SUB_CLASS_PRICE,CLASS_CD,CURRENCY
CGO,KWL,PN ,B,1180,Y,CNY       
DLC,NGB,DZ ,V,550,Y,CNY       
KWL,XIY,HU ,T,350,Y,CTP       
CAN,LUM,CZ ,T,700,Y,CTP       
KWE,LHW,HU ,L,800,Y,CTP       
TAO,CSX,MF ,V,870,Y,CNY       
LZO,WNZ,GJ ,H,1420,Y,CNY       
TNA,XMN,MU ,U,2570,C,CNY       
PVG,FUG,FM ,V,280,Y,CNY       
YCU,TAO,MU ,Y,1080,Y,CNY       
DSN,HFE,MU ,P,1200,Y,CNY       
TAO,CSX,BK ,M,1260,Y,CNY       
CKG,NGB,CZ ,B,1730,Y,CTP       
YCU,TAO,SC ,U,490,Y,CNY       
TAO,NKG,HO ,C,1800,C,CNY       
PVG,MIG,Y8 ,H,1500,Y,CNY       
CGO,KWL,CZ ,E,650,Y,CNY       
PVG,DLU,MU ,Y,2750,Y,CNY       
ZYI,PVG,MU ,W,1640,Y,CNY       
KWE,LHW,DZ ,U,410,Y,CNY       
DYG,XIY,9H ,T,250,Y,CNY       
WUH,HGH,CA ,U,570,Y,CNY       
CAN,LUM,CZ ,J,4140,C,CNY       
XIY,JIC,MU ,K,700,Y,CNY       
PVG,LLV,MU ,W,1410,Y,CNY       
LHW,KWE,CZ ,F,5520,F,CNY       
KWE,NGB,CZ ,T,650,Y,CTP       
LZO,NKG,HO ,V,850,Y,CNY       
YCU,NGB,MU ,Q,1890,C,CNY       
XIY,BAV,GS ,Q,670,Y,CTP       
XIY,JIC,9H ,M,620,Y,CNY       
CZX,XMN,MU ,Q,1200,C,CNY       
DYG,XIY,9H ,N,340,Y,CNY       
CGO,NGB,CZ ,U,640,Y,CNY       
KWE,NGB,8L ,A,630,Y,CNY       
YBP,PVG,MU ,N,1210,Y,CNY       
PVG,DSN,FM ,V,500,Y,CNY       
NGB,CGO,SC ,E,370,Y,CTP       
NGB,CGO,8L ,P,320,Y,CTP       
CGO,LZO,3U ,I,2060,C,CNY       
CKG,NGB,PN ,N,870,Y,CTP       
KWE,NGB,CZ ,L,960,Y,CNY       
XMN,TNA,GT ,L,970,Y,CNY       
DLC,LHW,MF ,B,1770,Y,CNY       
PVG,LZO,MU ,N,1170,Y,CNY       
JNZ,PVG,MU ,L,940,Y,CNY       
XIY,HYN,9H ,Y,1540,Y,CNY       
KWL,XIY,CZ ,F,4720,F,CNY       
DLC,LHW,MU ,W,1880,Y,CNY       
CSX,TAO,SC ,K,500,Y,CTP       
TAO,KWE,EU ,A,2510,C,CNY       
PVG,ZYI,MU ,Q,2130,C,CNY       
CZX,XMN,SC ,U,450,Y,CNY       
YBP,PVG,HO ,B,1720,Y,CNY       
TAO,YCU,MU ,W,1080,Y,CNY       
SHA,DLU,MU ,V,1210,Y,CNY       
HFE,INC,DZ ,U,430,Y,CNY       
XMN,TNA,SC ,H,1330,Y,CNY       
XIY,NNG,KY ,S,810,Y,CNY       
